City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,saint-augustin,51.226,-58.6502,-0.4,83,100,5.91,CA,1679410791
152,morant bay,17.8815,-76.4093,28.73,69,9,5.05,JM,1679410792
153,poum,-20.2333,164.0167,25.85,73,100,4.86,NC,1679410793
154,salalah,17.0151,54.0924,26.21,79,25,5.67,OM,1679410793
155,atuona,-9.8,-139.0333,26.83,66,8,6.08,PF,1679410794
156,byron bay,-28.65,153.6167,20.95,82,100,6.28,AU,1679410630
157,tahe,52.3333,124.7333,-2.49,94,100,3.02,CN,1679410795
158,coihaique,-45.5752,-72.0662,7.34,87,40,2.06,CL,1679410514
159,vesyegonsk,58.664,37.2604,1.66,99,100,3.81,RU,1679410797
160,jimo,36.3897,120.4622,9.88,66,100,2.0,CN,1679410799
161,hasaki,35.7333,140.8333,13.45,85,100,2.54,JP,1679410800
162,moratuwa,6.773,79.8816,29.01,81,21,1.71,LK,1679410802
163,dikson,73.5069,80.5464,-9.9,91,100,5.69,RU,1679410818
164,svetlaya,46.5389,138.3297,0.52,88,25,2.08,RU,1679410827
165,pacific grove,36.6177,-121.9166,9.12,87,100,3.58,US,1679410837
166,mersing,2.4312,103.8405,25.95,94,20,0.51,MY,1679410847
167,sterlibashevo,53.4376,55.2578,-4.12,92,55,2.41,RU,1679410849
168,avarua,-21.2078,-159.775,27.03,89,20,1.54,CK,1679410850
169,hilo,19.7297,-155.09,21.45,95,100,2.57,US,1679410850
170,encarnacion,-27.3333,-55.9,33.02,49,0,2.06,PY,1679410851
171,lanzhou,36.0564,103.7922,6.82,33,100,3.28,CN,1679410852
172,vao,-22.6667,167.4833,24.89,70,4,7.05,NC,1679410852
173,novovasylivka,46.8315,35.7536,13.35,34,87,0.93,UA,1679410854
174,albany,42.6001,-73.9662,9.38,46,45,1.34,US,1679410776
175,sept-iles,50.2001,-66.3821,-1.08,54,20,3.6,CA,1679410622
176,sibolga,1.7427,98.7792,26.11,86,99,0.48,ID,1679410856
177,te anau,-45.4167,167.7167,5.65,87,88,0.72,NZ,1679410856
178,richards bay,-28.783,32.0377,27.79,70,13,5.94,ZA,1679410857
179,aitape,-3.1374,142.3475,26.07,87,100,2.32,PG,1679410858
180,ixtapa,20.7,-105.2,24.01,66,0,1.2,MX,1679410794
181,kodiak,57.79,-152.4072,1.73,60,0,5.66,US,1679410572
182,fort nelson,58.8053,-122.7002,-7.23,79,20,2.57,CA,1679410861
183,husavik,66.0449,-17.3389,-2.86,81,100,12.98,IS,1679410862
184,college,64.8569,-147.8028,-14.4,83,40,0.0,US,1679410864
185,atyrau,47.1167,51.8833,14.01,35,0,5.0,KZ,1679410745
